"","season","points_home","points_away","home_win"
"17390",2018,107,99,"Won"
"17391",2018,121,124,"Lost"
"17392",2018,115,100,"Won"
"17393",2018,125,116,"Won"
"17394",2018,106,116,"Lost"
"17395",2018,99,104,"Lost"
"17396",2018,112,103,"Won"
"17397",2018,108,94,"Won"
"17398",2018,111,122,"Lost"
"17399",2018,120,130,"Lost"
"17400",2018,121,125,"Lost"
"17401",2018,95,92,"Won"
"17402",2018,124,106,"Won"
"17403",2018,119,98,"Won"
"17404",2018,115,103,"Won"
"17405",2018,125,92,"Won"
"17406",2018,148,144,"Won"
"17407",2018,113,124,"Lost"
"17408",2018,127,105,"Won"
"17409",2018,124,88,"Won"
"17410",2018,114,115,"Lost"
"17411",2018,90,113,"Lost"
"17412",2018,96,115,"Lost"
"17413",2018,121,114,"Won"
"17414",2018,111,106,"Won"
"17415",2018,124,117,"Won"
"17416",2018,108,113,"Lost"
"17417",2018,129,127,"Won"
"17418",2018,83,114,"Lost"
"17419",2018,99,112,"Lost"
"17420",2018,91,126,"Lost"
"17421",2018,117,112,"Won"
"17422",2018,112,103,"Won"
"17423",2018,123,119,"Won"
"17424",2018,108,110,"Lost"
"17425",2018,93,111,"Lost"
"17426",2018,109,116,"Lost"
"17427",2018,111,105,"Won"
"17428",2018,116,87,"Won"
"17429",2018,106,111,"Lost"
"17430",2018,113,106,"Won"
"17431",2018,108,113,"Lost"
"17432",2018,117,114,"Won"
"17433",2018,98,118,"Lost"
"17434",2018,116,100,"Won"
"17435",2018,112,89,"Won"
"17436",2018,107,102,"Won"
"17437",2018,119,96,"Won"
"17438",2018,118,115,"Won"
"17439",2018,116,137,"Lost"
"17440",2018,126,120,"Won"
"17441",2018,126,125,"Won"
"17442",2018,105,110,"Lost"
"17443",2018,114,123,"Lost"
"17444",2018,126,118,"Won"
"17445",2018,114,118,"Lost"
"17446",2018,105,121,"Lost"
"17447",2018,115,101,"Won"
"17448",2018,107,117,"Lost"
"17449",2018,121,123,"Lost"
"17450",2018,115,109,"Won"
"17451",2018,126,119,"Won"
"17452",2018,95,116,"Lost"
"17453",2018,105,114,"Lost"
"17454",2018,128,92,"Won"
"17455",2018,107,116,"Lost"
"17456",2018,111,105,"Won"
"17457",2018,125,129,"Lost"
"17458",2018,101,116,"Lost"
"17459",2018,106,98,"Won"
"17460",2018,124,123,"Won"
"17461",2018,93,75,"Won"
"17462",2018,125,130,"Lost"
"17463",2018,110,107,"Won"
"17464",2018,101,91,"Won"
"17465",2018,129,102,"Won"
"17466",2018,117,102,"Won"
"17467",2018,119,116,"Won"
"17468",2018,129,120,"Won"
"17469",2018,135,128,"Won"
"17470",2018,136,138,"Lost"
"17471",2018,121,116,"Won"
"17472",2018,88,110,"Lost"
"17473",2018,108,103,"Won"
"17474",2018,102,100,"Won"
"17475",2018,114,98,"Won"
"17476",2018,111,97,"Won"
"17477",2018,123,114,"Won"
"17478",2018,110,116,"Lost"
"17479",2018,98,113,"Lost"
"17480",2018,108,102,"Won"
"17481",2018,110,122,"Lost"
"17482",2018,109,83,"Won"
"17483",2018,128,121,"Won"
"17484",2018,108,106,"Won"
"17485",2018,120,91,"Won"
"17486",2018,126,120,"Won"
"17487",2018,111,98,"Won"
"17488",2018,120,100,"Won"
"17489",2018,100,99,"Won"
"17490",2018,100,90,"Won"
"17491",2018,108,96,"Won"
"17492",2018,108,74,"Won"
"17493",2018,132,111,"Won"
"17494",2018,104,106,"Lost"
"17495",2018,97,114,"Lost"
"17496",2018,103,98,"Won"
"17497",2018,106,99,"Won"
"17498",2018,107,123,"Lost"
"17499",2018,113,130,"Lost"
"17500",2018,105,112,"Lost"
"17501",2018,133,107,"Won"
"17502",2018,104,125,"Lost"
"17503",2018,126,101,"Won"
"17504",2018,121,115,"Won"
"17505",2018,103,75,"Won"
"17506",2018,118,106,"Won"
"17507",2018,89,98,"Lost"
"17508",2018,140,115,"Won"
"17509",2018,131,108,"Won"
"17510",2018,104,125,"Lost"
"17511",2018,106,89,"Won"
"17512",2018,128,116,"Won"
"17513",2018,105,97,"Won"
"17514",2018,93,94,"Lost"
"17515",2018,103,92,"Won"
"17516",2018,121,114,"Won"
"17517",2018,111,115,"Lost"
"17518",2018,94,102,"Lost"
"17519",2018,112,114,"Lost"
"17520",2018,135,130,"Won"
"17521",2018,107,120,"Lost"
"17522",2018,131,114,"Won"
"17523",2018,127,120,"Won"
"17524",2018,112,111,"Won"
"17525",2018,111,106,"Won"
"17526",2018,126,110,"Won"
"17527",2018,104,112,"Lost"
"17528",2018,107,91,"Won"
"17529",2018,114,104,"Won"
"17530",2018,104,127,"Lost"
"17531",2018,122,105,"Won"
"17532",2018,118,110,"Won"
"17533",2018,117,98,"Won"
"17534",2018,121,129,"Lost"
"17535",2018,84,91,"Lost"
"17536",2018,131,114,"Won"
"17537",2018,132,123,"Won"
"17538",2018,104,111,"Lost"
"17539",2018,113,107,"Won"
"17540",2018,108,107,"Won"
"17541",2018,104,114,"Lost"
"17542",2018,107,96,"Won"
"17543",2018,109,111,"Lost"
"17544",2018,99,115,"Lost"
"17545",2018,105,96,"Won"
"17546",2018,114,106,"Won"
"17547",2018,95,107,"Lost"
"17548",2018,120,111,"Won"
"17549",2018,131,120,"Won"
"17550",2018,95,128,"Lost"
"17551",2018,127,88,"Won"
"17552",2018,114,113,"Won"
"17553",2018,104,103,"Won"
"17554",2018,114,105,"Won"
"17555",2018,112,115,"Lost"
"17556",2018,115,108,"Won"
"17557",2018,105,113,"Lost"
"17558",2018,108,118,"Lost"
"17559",2018,104,115,"Lost"
"17560",2018,118,123,"Lost"
"17561",2018,128,107,"Won"
"17562",2018,107,93,"Won"
"17563",2018,112,107,"Won"
"17564",2018,135,121,"Won"
"17565",2018,99,95,"Won"
"17566",2018,93,129,"Lost"
"17567",2018,112,117,"Lost"
"17568",2018,117,88,"Won"
"17569",2018,117,120,"Lost"
"17570",2018,81,111,"Lost"
"17571",2018,116,102,"Won"
"17572",2018,112,120,"Lost"
"17573",2018,118,109,"Won"
"17574",2018,115,111,"Won"
"17575",2018,161,168,"Lost"
"17576",2018,112,123,"Lost"
"17577",2018,119,117,"Won"
"17578",2018,107,96,"Won"
"17579",2018,116,130,"Lost"
"17580",2018,109,116,"Lost"
"17581",2018,120,131,"Lost"
"17582",2018,122,115,"Won"
"17583",2018,103,96,"Won"
"17584",2018,118,125,"Lost"
"17585",2018,121,118,"Won"
"17586",2018,104,108,"Lost"
"17587",2018,104,111,"Lost"
"17588",2018,113,118,"Lost"
"17589",2018,131,123,"Won"
"17590",2018,116,125,"Lost"
"17591",2018,126,125,"Won"
"17592",2018,92,97,"Lost"
"17593",2018,107,109,"Lost"
"17594",2018,105,93,"Won"
"17595",2018,110,101,"Won"
"17596",2018,111,105,"Won"
"17597",2018,140,141,"Lost"
"17598",2018,125,119,"Won"
"17599",2018,108,103,"Won"
"17600",2018,118,95,"Won"
"17601",2018,121,112,"Won"
"17602",2018,110,121,"Lost"
"17603",2018,110,123,"Lost"
"17604",2018,113,109,"Won"
"17605",2018,101,85,"Won"
"17606",2018,121,124,"Lost"
"17607",2018,106,117,"Lost"
"17608",2018,119,111,"Won"
"17609",2018,110,105,"Won"
"17610",2018,112,105,"Won"
"17611",2018,110,111,"Lost"
"17612",2018,121,112,"Won"
"17613",2018,98,113,"Lost"
"17614",2018,123,96,"Won"
"17615",2018,130,118,"Won"
"17616",2018,115,130,"Lost"
"17617",2018,120,112,"Won"
"17618",2018,115,117,"Lost"
"17619",2018,112,107,"Won"
"17620",2018,112,119,"Lost"
"17621",2018,128,115,"Won"
"17622",2018,96,119,"Lost"
"17623",2018,126,116,"Won"
"17624",2018,116,119,"Lost"
"17625",2018,140,128,"Won"
"17626",2018,112,118,"Lost"
"17627",2018,125,109,"Won"
"17628",2018,123,110,"Won"
"17629",2018,126,111,"Won"
"17630",2018,109,110,"Lost"
